Country,Date,log_share,log_price,TAVG,share,q_imported
canada,2013-04,-1.999740268724376,-3.571299425529671,23.46,0.1353704386076417,5302984.946619
canada,2013-05,-2.0701540757287025,-3.546504676558825,24.22,0.1261663410364767,5115754.166667
canada,2013-06,-2.055987385587706,-3.5065787178397905,27.6,0.1279664209780416,4599608.4
canada,2013-07,-1.6498177084943944,-3.5510423065004284,27.68,0.1920849208788697,6385319.89547
canada,2013-08,-1.509328253989494,-3.600822351483757,28.57,0.2210584232089233,6830450.622711
canada,2013-09,-1.5218244644258316,-3.640347739373933,27.35,0.2183132186835871,6452303.931298
canada,2013-10,-1.522106614949549,-3.690261855237399,24.89,0.2182516301836234,7902215.56
canada,2013-11,-1.5845341519616891,-3.5803187663489897,21.55,0.2050432898859411,5966709.569892
canada,2013-12,-1.913684689405564,-3.5504770038864346,20.01,0.1475357603692413,4902568.04878
canada,2014-01,-2.1363475484449923,-3.625948862776621,14.8,0.1180853573739329,5394016.240602
canada,2014-02,-2.151862015328215,-3.56497016522539,18.79,0.1162674642921285,4789599.116608
canada,2014-03,-2.179824696012649,-3.5080168857917453,19.44,0.1130613490085761,4868165.566667
canada,2014-04,-2.1956231687537326,-3.5765763175658125,23.09,0.111289187946884,4958763.107143
canada,2014-05,-2.211780941554131,-3.6161794216235617,25.6,0.1095054519404937,5280677.211896
canada,2014-06,-2.1570858534009854,-3.5431772725427724,27.54,0.1156616855082371,4540699.065744
canada,2014-07,-1.7537891634815732,-3.5576465201770944,28.38,0.1731167314979794,6416419.929825
canada,2014-08,-1.646078629531,-3.539384499908536,28.78,0.1928044859827486,6281495.724138
canada,2014-09,-1.6847374061354792,-3.574168224590412,27.05,0.185493134920282,6265508.892857
canada,2014-10,-1.6254369478710031,-3.699556928222981,23.94,0.1968256538617277,8222035.587045
canada,2014-11,-1.8112467107460009,-3.625219468801818,18.49,0.1634502345616924,5734772.518797
canada,2014-12,-2.13384747529691,-3.507170770745254,18.37,0.1183809487511548,4627514.7
canada,2015-01,-2.3668662619416363,-3.5575450683137606,16.65,0.0937741298726153,4473974.666667
canada,2015-02,-2.3291306500291937,-3.4948066986592963,15.62,0.0973803679216541,3899358.552632
canada,2015-03,-2.309318968975172,-3.520772771426937,22.74,0.0993288745755933,4925204.628378
canada,2015-04,-2.2526411935141453,-3.4955055022637462,25.33,0.1051212121175037,4450879.834983
canada,2015-05,-2.2489306631572856,-3.3485577418311445,26.32,0.1055119921183876,3683128.148148
canada,2015-06,-1.944954232148622,-3.534935804479459,28.34,0.1429937677058392,5733141.849315
canada,2015-07,-1.708414323025361,-3.3833076618082454,28.63,0.1811528148421015,5509655.368732
canada,2015-08,-1.529975534407291,-3.3666290906925265,28.23,0.2165409650542565,5933483.710145
canada,2015-09,-1.6497558567561426,-3.5698645755147367,27.66,0.1920968020325492,6608384.184397
canada,2015-10,-1.6018387364642248,-3.626646905783765,24.52,0.2015256245971235,7822129.924812
canada,2015-11,-1.883016984005315,-3.5836877508621026,23.75,0.1521304376028459,6035156.942446
canada,2015-12,-2.1359431328952097,-3.5146661093098217,21.99,0.118133122586503,4805474.932886
canada,2016-01,-2.387267633577021,-3.59149776493562,15.01,0.0918803921064746,4592313.65942
canada,2016-02,-2.347151488407392,-3.574933944201008,16.31,0.095641209660899,4851222.535714
canada,2016-03,-2.2701096677522408,-3.5688781305010155,21.76,0.1033008506897772,5271287.730496
canada,2016-04,-2.1602505421200004,-3.63672716263534,22.68,0.115296230857003,5331266.045627
canada,2016-05,-2.234816528126216,-3.5251725107253784,25.24,0.1070117617005496,5001720.340136
canada,2016-06,-1.980533310748612,-3.58528887575308,28.19,0.137995623133943,5579549.530686
canada,2016-07,-1.6714498669270803,-3.570436065571502,29.55,0.1879743302069751,6785170.035587
canada,2016-08,-1.729040311813974,-3.517680466882262,28.67,0.1774546293894111,6603586.464646
canada,2016-09,-1.878921001538841,-3.587363841083222,27.89,0.1527548391037151,6164907.292419
canada,2016-10,-1.698418910265448,-3.667264750376326,24.72,0.1829725915579,8657811.764706
canada,2016-11,-1.866365345870174,-3.5162512627636144,20.41,0.1546848672951326,6201749.124579
canada,2016-12,-2.2948856341383066,-3.3936235732253843,20.47,0.1007729175908522,4396974.404762
canada,2017-01,-2.3924361493594763,-3.524398753371901,18.12,0.0914067319641631,5276446.779661
canada,2017-02,-2.3796237504857043,-3.464581867794178,20.03,0.0925854061719019,4369503.354633
canada,2017-03,-2.3065898808039407,-3.480476465349425,20.46,0.09960032206585,4949349.61039
canada,2017-04,-2.207577501904056,-3.475979315680469,23.54,0.1099667202767114,5016582.524272
canada,2017-05,-2.233179794641956,-3.5012234661548494,25.02,0.1071870548490847,5324985.562914
canada,2017-06,-2.1959849626686747,-3.4150253330795906,26.51,0.1112489314785977,4672188.905775
canada,2017-07,-1.7134636636824112,-3.397611096122263,27.93,0.1802404180087195,5977572.776119
canada,2017-08,-1.6976052164276336,-3.389800323425035,28.39,0.1831215358174347,6679665.163205
canada,2017-09,-1.9218349008275968,-3.490164077287415,27.2,0.1463381995459571,6024168.983607
canada,2017-10,-1.747139532098312,-3.579525475872912,24.18,0.1742717298494242,7619733.476703
canada,2017-11,-1.909934612939272,-3.43868055781015,21.07,0.1480900694532567,5679705.856698
canada,2017-12,-2.26365708286712,-3.3544647331107647,17.99,0.1039695633399275,4249710.0
canada,2018-01,-2.379053671506043,-3.4128002062147784,14.45,0.0926382022133108,4908102.097264
canada,2018-02,-2.376689022590045,-3.392375239885633,22.11,0.0928575182382615,4564645.625
canada,2018-03,-2.3073098771161247,-3.45875381153862,18.38,0.0995286360112145,5425202.0
canada,2018-04,-2.259741585004729,-3.4102538873418444,22.81,0.1043774539692641,5043202.818182
canada,2018-05,-2.207045730669573,-3.413079648533341,24.97,0.1100252129662914,5027910.668693
canada,2018-06,-2.139792957850661,-3.37883158492236,27.67,0.1176792050552554,4698404.252199
canada,2018-07,-1.7783857051360044,-3.4170689864899444,27.94,0.1689105988130031,6143059.45122
canada,2018-08,-1.7256408570442356,-3.351427875931312,28.24,0.178058904897398,6626648.914286
canada,2018-09,-1.774011489617895,-3.4686478981957,28.54,0.1696510684817983,6192115.288462
canada,2018-10,-1.775693359826907,-3.556114426500649,25.61,0.1693659772142494,8122076.877193
canada,2018-11,-1.9527351429569408,-3.550304852741451,20.98,0.1418854633534592,6522509.163763
canada,2018-12,-2.185627585254986,-3.4832563835482686,17.94,0.1124071664329238,5162953.778502
canada,2019-01,-2.3907645843247107,-3.5022247898791776,15.87,0.0915596520335706,5459812.990033
canada,2019-02,-2.3564770581838514,-3.5571560507166704,21.17,0.0947534467678781,5498161.22807
canada,2019-03,-2.334982426167328,-3.5838264843649754,20.13,0.0968121838726305,6187632.374101
